ID,F1_of_all,F2_of_all,F3_of_all,F4_of_all,F5_of_all,F6_of_all,F1_of_first_five,F2_of_first_five,F3_of_first_five,F4_of_first_five,F5_of_first_five,F6_of_first_five,F1_of_the_rest,F2_of_the_rest,F3_of_the_rest,F4_of_the_rest,F5_of_the_rest,F6_of_the_rest,Mw,charge_of_all,charge_of_first_five,charge_of_the_rest,positive_charge,negative_charge,polar_number,unpolar_number,unpolar_ratio,ph_number,length,hydrophobicity,jinpu_ug_ml,jinpu_uM,dachang_ug_ml,dachang_uM
1,-0.74,0.013,-0.415,0.046,0.43,-0.717,-0.774,-0.041,-0.279,0.055,0.398,-0.711,-1.323,0.453,-1.365,0.164,0.314,-1.559,954.4,2,1,1,2,0,3,5,0.625,1,8,0.096,10.0,9.544,2.5,2.386
2,-0.534,-0.146,-1.019,-0.005,0.701,-0.359,-0.584,-0.111,-1.186,0.026,0.62,-0.307,-0.298,-0.068,-0.486,-0.044,0.574,-0.127,1566.4,5,3,2,5,0,5,7,0.583,1,12,-0.245,4.0,6.266,8.0,12.531
3,-0.366,-0.099,-0.631,-0.033,0.856,-0.296,-0.501,-0.218,-0.823,-0.01,0.705,-0.628,-0.682,-0.183,-1.257,0.003,1.43,-0.573,1184.6,3,1,2,3,0,3,5,0.625,2,8,-0.332,8.0,9.477,8.0,9.477
4,-0.635,0.024,-0.651,0.091,0.395,-0.444,-0.528,-0.071,-0.495,0.09,0.669,-0.419,-0.462,0.165,-0.268,0.091,0.01,-0.263,1633.3,5,2,2,5,0,7,6,0.462,2,13,-0.397,2.0,3.267,2.2,3.593
5,-0.365,-0.217,0.023,-0.07,0.889,-0.269,-0.515,-0.349,-0.338,0.015,0.872,-0.59,-0.278,-0.115,-0.134,-0.004,0.682,-0.06,1780.2,4,1,3,4,0,4,8,0.667,4,12,-0.325,32.0,56.966,32.0,56.966
6,-0.671,0.058,-0.674,0.058,0.453,-0.494,-0.767,0.176,-0.225,0.095,0.197,-0.504,-0.403,0.076,-0.581,0.016,0.452,-0.219,1482.2,4,1,3,4,0,5,7,0.583,1,12,-0.112,2.496,3.7,1.552,2.3
7,-0.893,0.449,-0.477,0.189,-0.103,-0.859,-0.907,0.135,-0.902,0.271,0.145,-1.024,-0.761,0.396,0.025,0.125,-0.268,-0.675,1214.6,0,0,0,1,1,6,5,0.455,2,11,-0.164,7.6,9.231,15.2,18.462
8,-0.795,-0.261,-0.467,0.104,0.395,-0.829,-0.822,-0.685,-0.51,0.148,0.772,-1.187,-0.477,0.088,-0.349,0.022,0.138,-0.337,1461.1,2,0,2,2,0,4,9,0.692,2,13,0.08,6.0,8.767,3.0,4.383
9,-0.938,-0.15,-0.747,0.2,0.245,-1.038,-0.969,-0.273,-0.39,0.206,0.321,-1.014,-0.516,-0.158,-0.651,0.085,0.249,-0.522,1302.1,1,0,1,1,0,2,11,0.846,1,13,0.258,3.1,4.037,25.0,32.553
10,-0.739,0.237,-0.8,0.093,0.287,-0.688,-0.669,0.428,-0.307,0.035,0.155,-0.425,-0.457,-0.164,-0.752,0.098,0.397,-0.545,1572.2,-1,-1,1,1,2,6,7,0.538,1,13,-0.113,6.2,9.748,50.0,78.61
11,-0.731,-0.057,-1.117,0.102,0.461,-0.655,-0.734,-0.144,-0.973,0.148,0.551,-0.551,-0.728,0.031,-1.261,0.055,0.371,-0.758,1154.8,3,2,1,3,0,4,6,0.6,0,10,-0.117,5.0,5.774,50.0,57.74
12,-0.848,-0.218,-0.763,0.167,0.455,-0.985,-0.705,-0.473,-0.505,0.032,0.828,-0.809,-0.602,0.013,-0.611,0.141,0.067,-0.738,1398.2,1,0,0,1,0,2,11,0.846,1,13,0.225,2.3,3.216,11.9,16.639
13,-1.026,-0.252,-0.235,0.287,0.271,-1.052,-1.265,-0.338,-0.43,0.453,-0.001,-1.462,-0.787,-0.166,-0.041,0.121,0.543,-0.641,984.4,1,0,1,1,0,1,9,0.9,2,10,0.091,25.4,25.004,12.7,12.502
14,-0.722,0.041,-0.256,0.06,0.632,-0.447,-0.699,-0.044,-0.229,0.111,0.701,-0.523,-0.62,-0.203,-0.131,0.022,0.615,-0.336,1348.9,2,2,0,2,0,4,7,0.636,2,11,-0.205,3.0,4.047,10.0,10.0
15,-0.39,-0.305,0.297,-0.086,0.86,-0.385,-0.571,-0.369,-0.29,-0.029,0.702,-0.599,-0.169,-0.112,0.183,-0.046,0.64,-0.082,1907.3,3,1,2,3,0,3,10,0.769,5,13,-0.138,1.0,1.907,10.0,19.073
16,-0.297,-0.042,-0.334,-0.096,0.836,-0.103,-0.174,0.066,-0.085,-0.152,0.903,0.228,-0.432,-0.184,-0.282,-0.138,0.944,-0.499,1385.8,4,3,1,4,0,4,5,0.556,3,9,-0.458,4.0,5.543,2.0,2.772
17,-0.297,-0.042,-0.334,-0.096,0.836,-0.103,-0.346,-0.147,-0.225,-0.11,0.756,-0.399,-0.217,0.083,-0.106,-0.19,1.129,0.286,1385.8,4,1,3,4,0,4,5,0.556,3,9,-0.458,4.0,5.543,4.0,5.543
18,-0.385,-0.115,-0.344,-0.164,0.57,-0.233,-0.321,-0.062,-0.105,-0.208,0.581,-0.065,-0.447,-0.188,-0.279,-0.22,0.748,-0.424,1300.8,3,2,1,3,0,3,6,0.667,3,9,-0.0,16.0,20.813,8.0,10.406
19,-0.348,-0.102,-0.372,-0.103,0.752,-0.261,-0.266,-0.042,-0.154,-0.164,0.751,-0.056,-0.432,-0.184,-0.282,-0.138,0.944,-0.499,1342.8,3,2,1,3,0,3,6,0.667,3,9,-0.177,4.0,5.371,8.0,10.742
20,-0.463,-0.083,-0.558,-0.049,0.93,-0.083,-0.373,0.017,-0.353,-0.096,1.016,0.252,-0.682,-0.246,-0.617,-0.068,1.086,-0.47,1268.8,4,3,1,4,0,4,5,0.556,3,9,-0.378,4.0,5.075,4.0,5.075
21,-0.655,-0.421,-0.505,0.147,0.923,-0.624,-0.604,-0.389,-0.29,0.14,1.007,-0.397,-0.97,-0.753,-0.538,0.227,1.074,-1.28,1118.5,4,3,1,4,0,4,5,0.556,0,9,-0.604,4.0,4.474,2.0,2.237
